# timestamp wx wy wz ax ay az
308.618 -2.623755019561e-05 5.8726067675315e-06 2.33858582616286e-05 -1.60364606682686e-06 1.03986526802691e-05 9.8046322576696
308.638 -2.53823595890566e-05 1.96591902533306e-05 1.9205757286054e-05 5.83076934707269e-07 7.68617656604472e-06 9.80633224897373
308.658 -2.5400982568893e-05 2.74607354909561e-05 1.75746360830863e-05 1.55438587571155e-06 6.68803184352772e-06 9.80747289168919
308.678 -2.45025722039325e-05 3.08733791387957e-05 1.66934809896062e-05 1.96005978801275e-06 6.59647234041048e-06 9.80812018067565
308.698 -2.17670834620222e-05 3.12287876514472e-05 1.54554086207083e-05 2.163273958941e-06 6.86949983345799e-06 9.80834011078986
308.718 -1.71452739474459e-05 2.95941572767896e-05 1.34456651014602e-05 2.29198649926692e-06 7.06002138762013e-06 9.80819867688589
308.738 -1.14103732150779e-05 2.67759902874686e-05 1.09050544684531e-05 2.34462930649319e-06 6.83365109457808e-06 9.80776949755182
308.758 -5.62642430527071e-06 2.33616359786484e-05 8.32767864957412e-06 2.40047481665245e-06 6.40951241954776e-06 9.80715668631839
308.778 -6.16623885697106e-07 1.97608318097246e-05 6.05867932127484e-06 2.49510719636093e-06 6.00538728365175e-06 9.80647198045303
308.798 3.08501054399919e-06 1.6209479858625e-05 4.2576691872544e-06 2.60054390556111e-06 5.70589124759987e-06 9.8058271172238
308.818 5.2336408557221e-06 1.27696467075556e-05 2.89873251447338e-06 2.65942326853724e-06 5.51933576550487e-06 9.80533383389898
308.838 5.86606233091704e-06 9.34350103881437e-06 1.78244830834714e-06 2.63115300134001e-06 5.4082200352588e-06 9.80507821255317
308.858 5.2176952600834e-06 5.82662925673723e-06 6.68137919243608e-07 2.54890331147933e-06 5.25992683602679e-06 9.80504371448531
308.878 3.63957636184134e-06 2.26135124483695e-06 -5.93887806589495e-07 2.46538230082969e-06 4.99379433602633e-06 9.80518814580046
308.898 1.59081247981135e-06 -1.14934182003917e-06 -2.05030615876318e-06 2.40934028292903e-06 4.60855430366565e-06 9.80546931260379
308.918 -3.61419482278459e-07 -4.04178743075067e-06 -3.6447826517335e-06 2.35402703766089e-06 4.2035208992556e-06 9.8058450210005
308.938 -1.56204811157108e-06 -5.91152315736172e-06 -5.22437202012339e-06 2.23308414715038e-06 3.92745098618752e-06 9.80627067807418
308.958 -1.49003817632525e-06 -6.33187261092843e-06 -6.60992828732015e-06 2.07002656116942e-06 3.76371155294502e-06 9.80669209482123
308.978 1.96786383157528e-08 -5.1725313630724e-06 -7.66651484431867e-06 1.87917755913289e-06 3.69261475284411e-06 9.80705268321615
308.998 2.7560281207427e-06 -2.6194382872155e-06 -8.30980542105835e-06 1.6802476474318e-06 3.69000103551442e-06 9.80729585523328
309.018 6.13179351713682e-06 8.25224443582818e-07 -8.50608403550518e-06 1.56040480352341e-06 3.65341815695154e-06 9.80736502284687
309.038 9.2173021361273e-06 4.36856800979596e-06 -8.27101940212311e-06 1.63081469954398e-06 3.43900245315578e-06 9.80723070272817
309.058 1.11109765890491e-05 7.20790205719867e-06 -7.6561851098616e-06 1.74798354184831e-06 3.15159152945997e-06 9.80697183033494
309.078 1.13098859090659e-05 8.81163995771763e-06 -6.73557995798835e-06 1.79622177337239e-06 2.86574875529162e-06 9.80669444582145
309.098 9.74343195858873e-06 8.94483570947284e-06 -5.60440265816915e-06 1.73493832057014e-06 2.59990909166042e-06 9.80650458934155
309.118 6.77334925086817e-06 7.66918414928782e-06 -4.37905197193397e-06 1.54042960585916e-06 2.40116932330421e-06 9.80650830104843
309.138 3.16465790700549e-06 5.33167357174265e-06 -3.19369291045567e-06 1.21237083310796e-06 2.33834189004009e-06 9.80677168924961
309.158 -2.33851598684725e-07 2.43976168906694e-06 -2.16248463611881e-06 9.20327436283513e-07 2.28430318867584e-06 9.80720113487072
309.178 -2.80913356216769e-06 -4.63448582662233e-07 -1.34180841463245e-06 7.94466361279418e-07 2.16638766858042e-06 9.80766308699226
309.198 -4.21293385034647e-06 -2.8105568437471e-06 -7.26833879926253e-07 8.5608249509057e-07 2.00621986667393e-06 9.80802399469489
309.218 -4.36178988134497e-06 -4.00986529247101e-06 -2.51519151655558e-07 1.01274064378522e-06 1.86784811620401e-06 9.80815030705919
309.238 -3.4243815127549e-06 -3.46921128834954e-06 2.05632985904944e-07 1.09667409102288e-06 1.80794008992246e-06 9.80795099542494
309.258 -1.68239110555649e-06 -8.58124720426018e-07 7.58257253763001e-07 1.01215698429063e-06 1.84207794112727e-06 9.80750512016765
309.278 6.0863640833359e-07 3.6300146726335e-06 1.44880798715386e-06 6.91001816021074e-07 1.9339687311468e-06 9.80693426392173
309.298 3.23194263403794e-06 9.25414484997404e-06 2.24280281576622e-06 1.56787382850359e-07 2.00093360148303e-06 9.80636000932165
309.318 6.00955571265452e-06 1.47255215101536e-05 3.02882239513631e-06 -3.678385482416e-07 1.92157430565417e-06 9.80590393900219
309.338 8.79657944920059e-06 1.82717191062617e-05 3.62606976702963e-06 -5.52178109688904e-07 1.61061414319904e-06 9.80565964539007
309.358 1.14183740279816e-05 1.83406417795929e-05 3.86752492598924e-06 -5.05112241265888e-07 1.22263753065026e-06 9.80560876007641
309.378 1.36077367044371e-05 1.43045342545345e-05 3.68309973797828e-06 -3.13772556787829e-07 9.36661293383367e-07 9.80570492444242
309.398 1.49991908936261e-05 6.52398276722712e-06 3.10719799410207e-06 -3.89921534614683e-08 8.6966341089726e-07 9.80590177986805
309.418 1.51289861784732e-05 -3.65208493070389e-06 2.27871526351598e-06 9.09207085519982e-08 1.05727287026186e-06 9.8061529677323
309.438 1.34609199357847e-05 -1.39669453182923e-05 1.43183181590418e-06 -2.36679380880712e-07 1.42873081187392e-06 9.80641453594174
309.458 9.67037385898383e-06 -2.21420834596312e-05 7.94746554589641e-07 -7.0586623463548e-07 1.79471859331555e-06 9.80665215851187
309.478 3.92835041710712e-06 -2.67631974671074e-05 4.88412369134919e-07 -1.09382949904561e-06 1.94252574584977e-06 9.80683391598545
309.498 -3.07270561241482e-06 -2.73607444633044e-05 5.1733165439246e-07 -1.36264995676573e-06 1.74409550249705e-06 9.80692788890422
309.518 -1.01189072703995e-05 -2.44099407475501e-05 7.69557704702245e-07 -1.47398387143381e-06 1.2583655833336e-06 9.80690215780841
