# timestamp vx vy vz
308.618 -2.59288304849115e-06 -1.65125357879368e-05 -2.97017011875456e-05
308.638 -3.42064611067155e-06 -1.63744050319517e-05 -5.20693931039587e-05
308.658 -4.14314846479413e-06 -1.61718568750982e-05 -4.61407359291996e-05
308.678 -4.7465021829618e-06 -1.58797553533581e-05 -2.24427528849186e-05
308.698 -5.22408747261061e-06 -1.54895070167197e-05 9.81742991978951e-06
308.718 -5.57655272936941e-06 -1.50090609291779e-05 4.27525834748033e-05
308.738 -5.81154380389654e-06 -1.44619744003517e-05 6.98334945546088e-05
308.758 -5.94072659305944e-06 -1.38771360332763e-05 8.63082711668132e-05
308.778 -5.97680956238023e-06 -1.32784887721955e-05 8.96216480047035e-05
308.798 -5.93327307396585e-06 -1.26840956341789e-05 7.94531051248326e-05
308.818 -5.8243693945581e-06 -1.21061397091223e-05 5.77168679447571e-05
308.838 -5.66506014209201e-06 -1.15510544035084e-05 2.84336312788736e-05
308.858 -5.47032817606319e-06 -1.10209561217786e-05 -3.68047632877053e-06
308.878 -5.25448950788876e-06 -1.05150769477053e-05 -3.46249282690558e-05
308.898 -5.03113076288919e-06 -1.00298948881524e-05 -6.12430758250571e-05
308.918 -4.81310916278233e-06 -9.55913387307567e-06 -8.12221481866771e-05
308.938 -4.61231909567369e-06 -9.09412154871286e-06 -9.31052475483435e-05
308.958 -4.43712437135646e-06 -8.6277250026764e-06 -9.64232953091938e-05
308.978 -4.28979045974387e-06 -8.15828648904605e-06 -9.18269782611836e-05
308.998 -4.16625107546587e-06 -7.68998122155909e-06 -8.10987436968003e-05
309.018 -4.05610815290558e-06 -7.23281737361047e-06 -6.71527994173804e-05
309.038 -3.94315475053158e-06 -6.80208897965762e-06 -5.38995902372233e-05
309.058 -3.81112677561718e-06 -6.41235785067542e-06 -4.47550396959207e-05
309.078 -3.64945469488731e-06 -6.07143548961087e-06 -4.11497917457079e-05
309.098 -3.4537864374018e-06 -5.77983599278814e-06 -4.23936872699926e-05
309.118 -3.22598738189406e-06 -5.53077604990863e-06 -4.56757640909244e-05
309.138 -2.97381951749279e-06 -5.31062763701329e-06 -4.62639161868172e-05
309.158 -2.70741220410875e-06 -5.10389763906954e-06 -3.97011451994441e-05
309.178 -2.43573291908161e-06 -4.89820747255809e-06 -2.40018119280136e-05
309.198 -2.16626638605e-06 -4.68474577843532e-06 1.48704445562808e-07
309.218 -1.90501464469861e-06 -4.4582684221334e-06 2.93940063500475e-05
309.238 -1.65628536342652e-06 -4.2170900023766e-06 5.79192891237676e-05
309.258 -1.42036424860548e-06 -3.96299044816235e-06 7.97900652568951e-05
309.278 -1.19118733443724e-06 -3.70112161574218e-06 9.12908886317801e-05
309.298 -9.56129395213168e-07 -3.43999879743805e-06 9.11379658157518e-05
309.318 -6.96003972233683e-07 -3.19150072164254e-06 8.04791560642393e-05
309.338 -3.86042344108044e-07 -2.97053304563829e-06 6.27540202733875e-05
309.358 -6.66279235950196e-09 -2.79132677661387e-06 4.21543595071974e-05
309.378 4.45760195616485e-07 -2.66373669267943e-06 2.20847535154986e-05
309.398 9.5791690424285e-07 -2.59290483568639e-06 5.0226096887096e-06
309.418 1.49956236894511e-06 -2.57926051122739e-06 -7.48183693599636e-06
309.438 2.02488571832918e-06 -2.61855360382493e-06 -1.47934910516437e-05
309.458 2.48757255073839e-06 -2.70222104400618e-06 -1.70600381304148e-05
309.478 2.85586735754295e-06 -2.81775327537781e-06 -1.50795854928637e-05
309.498 3.11394282825894e-06 -2.94872756981457e-06 -1.0288629666233e-05
309.518 3.26189983690384e-06 -3.07480802745935e-06 -4.76205639166061e-06
309.538 3.31498794008513e-06 -3.17225417671092e-06 -1.12746097852062e-06
309.558 3.29503058511121e-06 -3.21951557408968e-06 -1.62267223299123e-06
309.578 3.22185032738953e-06 -3.2028264041034e-06 -7.1532763860141e-06
309.598 3.11248934103947e-06 -3.11671407923495e-06 -1.72069374458905e-05
309.618 2.98120935782187e-06 -2.96399923994239e-06 -2.98533972048487e-05
309.638 2.83939688615212e-06 -2.75494944808382e-06 -4.18664217733856e-05
309.658 2.69451980259433e-06 -2.49796981459136e-06 -5.00652135114275e-05
309.678 2.54908402091969e-06 -2.19029362714519e-06 -5.26558229507687e-05
309.698 2.40053866706891e-06 -1.81713604359836e-06 -4.93530953368515e-05
309.718 2.24127602277413e-06 -1.3516940919769e-06 -4.13806706265896e-05
309.738 2.05905169942252e-06 -7.57195316482466e-07 -3.13641905398532e-05
309.758 1.84160604990019e-06 -9.43288352248505e-09 -2.2156576038759e-05
309.778 1.58128558747084e-06 8.80699312259794e-07 -1.56633048301394e-05
309.798 1.2754631310008e-06 1.8651580019826e-06 -1.27356184001781e-05
