t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,1.5,1.5,1.0,1.0,1.341101270330176e-21,6.0344700222543445e-09,-0.0,1.4808429307088143e-10,-1.4625158644015564e-23,0.0,0.0,0.0,0.0,1.1839630183663025e-07,-2.6312406923878056e-20,0.0,1.3612180580334794e-14,0.0016838585188777054,-7.280888315941338e-21,2.1459275777685227,2.1459474222314783,2.1459474222314774,2.145927577768523,7.096667221198616e-05,-4.207410344807743e-17,0.0,0.028329810244828918,-5.885742029645943e-14,0.0
0.02,1.5000000001507903,1.5,1.0,0.9999999999999268,8.660829556955372e-17,3.8273718534905026e-07,-7.708974568716938e-23,3.7637112605150094e-08,-3.783540179471784e-18,0.0,1.0099721141063914e-13,0.00011666602644640575,-9.678634761785345e-20,7.5093035765500154e-06,-1.6992547590755961e-15,0.0,4.050239313938688e-11,0.011332572475566516,-4.9070474428128854e-17,2.145870722176637,2.1460042778240673,2.14600427782462,2.1458707221771904,0.001121871859629159,-6.780352469686141e-13,0.0,0.11128426732993935,-2.365637167108297e-10,0.0
0.04,1.5000000047867086,1.5,1.0,0.9999999999954242,2.1740370194380436e-14,3.025155107241877e-06,-6.505475304503168e-20,5.964151068662629e-07,-1.9032435437030932e-15,0.0,9.600051074667699e-12,0.0004523070586772536,-2.035448749408883e-17,5.93535432049004e-05,-4.265460632234608e-13,0.0,1.7406059358135847e-09,0.022130059712158395,-4.634836035493959e-15,2.1458070973999583,2.1460679026548006,2.1460679026785963,2.145807097423753,0.004415616419880694,-8.488954565988329e-11,0.0,0.21720536447780547,-1.4761592941837253e-08,0.0
0.06,1.50000003605778,1.4999999999999996,1.0,0.9999999999491274,5.463083765542752e-13,1.00868889910722e-05,-4.140367887291764e-18,2.9902924808297753e-06,-7.188220595235249e-14,0.0,1.5152311454348396e-10,0.0009985204125399223,-5.822416721066571e-16,0.00019790476203504042,-1.0718570350450125e-11,0.0,1.7846286843708993e-08,0.03239186293326309,-8.605380819222862e-14,2.1457466294318985,2.146128371197486,2.14612837144146,2.1457466296758687,0.009775053023593055,-1.4185640524075778e-09,0.0,0.3178714201688795,-1.6392112835000597e-07,0.0
0.08,1.5000001507267542,1.4999999999999925,1.0,0.9999999997210375,5.3500990369082555e-12,2.3620436139748012e-05,-8.322362746435807e-17,9.359576343897877e-06,-9.40492375912561e-13,0.0,1.0876401960152107e-09,0.0017447019037528195,-6.6220979273659876e-15,0.0004634329574496973,-1.0496894323055575e-10,0.0,9.496563061379914e-08,0.04212891494770009,-7.262396828412221e-13,2.1456892547333997,2.146185748757441,2.1461857500557078,2.145689256031631,0.017096154832746957,-1.039297091027284e-08,0.0,0.4133896875920422,-8.977801795982151e-07,0.0
0.1,1.5000004562785334,1.4999999999999305,1.0,0.9999999989615352,3.126288491133327e-11,4.5573342484924744e-05,-8.692176391748287e-16,2.2629311097929623e-05,-6.8835125847678235e-12,0.0,5.023397716483202e-09,0.0026804651073168784,-4.4358737247917974e-14,0.0008941489823398502,-6.133778046484827e-10,0.0,3.483616044392877e-07,0.051352058792830536,-3.867763206732986e-12,2.1456349116244557,2.1462401014410317,2.146240106203484,2.1456349163867174,0.026277031317728135,-4.8461047851140115e-08,0.0,0.5038665443984592,-3.3379567742593896e-06,0.0
0.12,1.500001126205932,1.4999999999995772,1.0,0.9999999969743292,1.3177682597010486e-10,7.779037116774862e-05,-5.951657723328708e-15,4.6468521641702025e-05,-3.488874981939553e-11,0.0,1.7508933854837585e-08,0.0037956395569825043,-2.1086750625312905e-13,0.0015262470961649923,-2.5854613580854236e-09,0.0,1.0063142195941098e-06,0.060072047180012016,-1.524984923928907e-11,2.145583541160603,2.146291497025553,2.1462915107829983,2.145583554917258,0.037217910746521594,-1.6978824701323217e-07,0.0,0.5894074926948515,-9.713286649559598e-06,0.0
0.14,1.5000024144887887,1.4999999999980567,1.0,0.9999999925560903,4.433493897568618e-10,0.00012201565302416235,-3.034326618609399e-14,8.525030409440206e-05,-1.3722393564887482e-10,0.0,5.020406811436065e-08,0.005080268931247619,-7.88391098556371e-13,0.0023939471657950457,-8.698515293922694e-09,0.0,2.4617429517107277e-06,0.06829954170172008,-4.8667059988556707e-11,2.1455350881613366,2.1463400059781623,2.146340039633317,2.1455351218138348,0.04982112267362418,-4.883644758350462e-07,0.0,0.6701171590189178,-2.3866668599331076e-05,0.0
0.16,1.500004669283306,1.4999999999927327,1.0,0.9999999838189271,1.2646985272196382e-09,0.00017989481879653879,-1.2443964430453874e-13,0.00014401275703369504,-4.482909081865687e-10,0.0,1.2473110036833357e-07,0.006524609221150808,-2.4682204660234667e-12,0.003529536516123156,-2.4813386747785232e-08,0.0,5.328990874291009e-06,0.07604511180665935,-1.3278202968405405e-10,2.145489502351974,2.146385702585412,2.146385775440419,2.14548957519937,0.06399108042806662,-1.2157915585569925e-06,0.0,0.7460992942681886,-5.181250714118284e-05,0.0
0.18,1.500008345838365,1.4999999999767823,1.0,0.9999999680012898,3.1804231959006354e-09,0.00025297711284152745,-4.317400864720614e-13,0.0002284207462435314,-1.270908418265053e-09,0.0,2.77699300067624e-07,0.008119126875404108,-6.741101605673881e-12,0.004963411430419068,-6.239991123662413e-08,0.0,1.0503871559373582e-05,0.08331923356355861,-3.21064504500877e-10,2.145446739583847,2.146428666158472,2.1464288097637176,2.145446883169807,0.07963426359910804,-2.7105687474447967e-06,0.0,0.8174567735259654,-0.00010232612858958442,0.0
