t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,3.0,0.0,1.0,1.0,-3.624698694357989e-09,-7.258023789660356e-22,0.0,-7.915118098403407e-24,8.894914412855559e-11,0.0,0.0,0.0,0.0,-1.424024267531362e-20,7.111658838330375e-08,0.0,-0.0010114359259969423,-7.366895600427e-15,2.3668675745835545e-21,2.145944413534287,2.145944413534287,2.145930586465713,2.1459305864657137,-2.2770453694342877e-17,4.262724036428656e-05,0.0,-3.1853564392237735e-14,0.017016743115326534,0.0
0.02,3.0,9.057452980951506e-11,1.0,0.9999999999999736,-2.2989706981738915e-07,-4.687230439139176e-17,2.506029642021451e-23,-2.0476473506718247e-18,2.2607319684443058e-08,0.0,-7.007727143841223e-05,-5.4659568171758426e-14,3.146325803926937e-20,-9.196346121592924e-16,4.510580509817533e-06,0.0,-0.006807086704307307,-2.191984598390774e-11,1.5951805570174994e-17,2.1459840289263212,2.1459840289260628,2.1458909710741327,2.145890971074391,-3.669518523023135e-13,0.0006738698592980413,0.0,-1.280279962179857e-10,0.0668446337467637,0.0
0.04,3.0,2.8752112968257697e-09,1.0,0.9999999999983491,-1.8171066766605407e-06,-1.1765861949432478e-14,2.114796696183354e-20,-1.0300330946904263e-15,3.5824605163021654e-07,0.0,-0.00027168530111743635,-5.1955359841382e-12,6.616826733109592e-18,-2.308462114497625e-13,3.5651632996256385e-05,0.0,-0.013292766101772506,-9.420138188507159e-10,1.5066902074492076e-15,2.1460283609352184,2.146028360924116,2.145846639093125,2.145846639104226,-4.594211902738727e-11,0.0026523089870198802,0.0,-7.988956174708535e-09,0.13046779553577662,0.0
0.06,3.0,2.1658668985792527e-08,1.0,0.9999999999816452,-6.058847458816511e-06,-2.9566143003697416e-13,1.3459487463753771e-18,-3.890256257284678e-14,1.7961658954373306e-06,0.0,-0.0005997768856713206,-8.200412561216112e-11,1.892748350374262e-16,-5.800877257804854e-12,0.00011887458714852571,0.0,-0.019456678545801173,-9.658388773307672e-09,2.7974329452277468e-14,2.1460704937247437,2.14607049361092,2.145804506590362,2.1458045067041884,-7.677251425611102e-10,0.005871538312599225,0.0,-8.87139156090278e-08,0.1909344345751557,0.0
0.08,2.999999999999996,9.053637974405523e-08,1.0,0.9999999998993506,-1.4187983992954908e-05,-2.895467104229281e-12,2.7054295704866e-17,-5.089933317777697e-13,5.621975754019358e-06,0.0,-0.0010479824572155732,-5.886295540610193e-10,2.1527083255974743e-15,-5.680906460966295e-11,0.00027836824602582816,0.0,-0.0253053910901755,-5.13952840925788e-08,2.3608563804133293e-13,2.1461104727653213,2.1461104721596262,2.1457645289625744,2.1457645295682766,-5.624663236165368e-09,0.0102690724905864,0.0,-4.858775429990532e-07,0.2483089741684107,0.0
0.1,2.9999999999999623,2.74070829382622e-07,1.0,0.9999999996253228,-2.7374340202601607e-05,-1.6919435398017075e-11,2.825648415273907e-16,-3.725348652035117e-12,1.359264924482036e-05,0.0,-0.0016100632518971343,-2.7186567561906317e-09,1.4420116490022126e-14,-3.31959323033989e-10,0.0005370845553787436,0.0,-0.030845417066452687,-1.885328788976945e-07,1.2573305684207538e-12,2.146148344028305,2.1461483418064407,2.14572666240395,2.145726664625848,-2.6227060249435103e-08,0.015783709382551192,0.0,-1.8064981528551112e-06,0.30265531171373083,0.0
0.12,2.9999999999997713,6.764731876417033e-07,1.0,0.9999999989083403,-4.672600201865496e-05,-7.131745876869046e-11,1.9347619712485415e-15,-1.8881749035874815e-11,2.791204349383852e-05,0.0,-0.002279910234342099,-9.475813860729711e-09,6.854870619757658e-14,-1.3992485473979368e-09,0.0009167641626083936,0.0,-0.03608321596355389,-5.446160466997904e-07,4.957413638444206e-12,2.1461841545510665,2.1461841481327677,2.1456908641899384,2.145690870608362,-9.188919310494558e-08,0.02235551953894857,0.0,-5.25681893962489e-06,0.35403681870033993,0.0
0.14,2.999999999998948,1.450300412104345e-06,1.0,0.9999999973142434,-7.329060926481472e-05,-2.399401560706025e-10,9.863974225902086e-15,-7.426542733830958e-11,5.1206927005199013e-05,0.0,-0.0030515430191749163,-2.7170381534771647e-08,2.562898020164755e-13,-4.707625914219853e-09,0.001437961765361711,0.0,-0.04102519325509869,-1.3322923730875147e-06,1.582066521259522e-11,2.1462179530971017,2.146217937396063,2.1456570930104495,2.145657108711842,-2.6430226128713856e-07,0.029925835680831788,0.0,-1.291661206397403e-05,0.40251634069517916,0.0
0.16,2.999999999996067,2.8046779651960763e-06,1.0,0.9999999941618817,-0.00010805663672911835,-6.844533361536889e-10,4.0452780286110395e-14,-2.4261449513828694e-10,8.650351239895097e-05,0.0,-0.003919108788562574,-6.75043245243422e-08,8.023679784056189e-13,-1.3428974776297986e-08,0.002120071249756983,0.0,-0.04567770017489198,-2.8840437473226846e-06,4.316472471336537e-11,2.146249790885375,2.1462497568970162,2.145625309340102,2.145625343329306,-6.579849151196733e-07,0.03843724218108308,0.0,-2.8040865947249517e-05,0.44815619730436124,0.0
0.18,2.9999999999874354,5.0130581995602666e-06,1.0,0.9999999884548899,-0.0001519546643712115,-1.7212413149381169e-09,1.4034986902530266e-13,-6.878140926642756e-10,0.0001372044898095551,0.0,-0.00487688120476999,-1.5029054352075354e-07,2.1913944529305536e-12,-3.377075618717931e-08,0.0029813506182232337,0.0,-0.050047033443185486,-5.6846839116135e-06,1.04371528593917e-10,2.146279722365575,2.1462796553718118,2.145595475834231,2.145595542829753,-1.4669565145851656e-06,0.047833564544383075,0.0,-5.537877653403108e-05,0.49101818207886316,0.0
